Type1,Type2,BaseHP,BaseAtk,BaseDef,BaseSpA,BaseSpD,BaseSpe
Fire,Ice,80,80,80,80,80,80
Fire,Normal,80,80,80,80,80,80
Fire,Poison,80,80,80,80,80,80
Fire,Psychic,80,80,80,80,80,80
Fire,Rock,80,80,80,80,80,80
Fire,Steel,80,80,80,80,80,80
Fire,Typeless,80,80,80,80,80,80
Fire,Water,80,80,80,80,80,80
Flying,Ghost,80,80,80,80,80,80
Flying,Grass,80,80,80,80,80,80
Flying,Ground,80,80,80,80,80,80
Flying,Ice,80,80,80,80,80,80
Flying,Normal,80,80,80,80,80,80
Flying,Poison,80,80,80,80,80,80
Flying,Psychic,80,80,80,80,80,80
Flying,Rock,80,80,80,80,80,80
Flying,Steel,80,80,80,80,80,80
Flying,Typeless,80,80,80,80,80,80
Flying,Water,80,80,80,80,80,80
Ghost,Grass,80,80,80,80,80,80
Ghost,Ground,80,80,80,80,80,80
Ghost,Ice,80,80,80,80,80,80
Ghost,Normal,80,80,80,80,80,80
Ghost,Poison,80,80,80,80,80,80
Ghost,Psychic,80,80,80,80,80,80
Ghost,Rock,80,80,80,80,80,80
Ghost,Steel,80,80,80,80,80,80
Ghost,Typeless,80,80,80,80,80,80
Ghost,Water,80,80,80,80,80,80
Grass,Ground,80,80,80,80,80,80
Grass,Ice,80,80,80,80,80,80
Grass,Normal,80,80,80,80,80,80
Grass,Poison,80,80,80,80,80,80
Grass,Psychic,80,80,80,80,80,80
Grass,Rock,80,80,80,80,80,80
Grass,Steel,80,80,80,80,80,80
Grass,Typeless,80,80,80,80,80,80
Grass,Water,80,80,80,80,80,80
Ground,Ice,80,80,80,80,80,80
Ground,Normal,80,80,80,80,80,80
Ground,Poison,80,80,80,80,80,80
Ground,Psychic,80,80,80,80,80,80
Ground,Rock,80,80,80,80,80,80
Ground,Steel,80,80,80,80,80,80
Ground,Typeless,80,80,80,80,80,80
Ground,Water,80,80,80,80,80,80
Ice,Normal,80,80,80,80,80,80
Ice,Poison,80,80,80,80,80,80
Ice,Psychic,80,80,80,80,80,80
Ice,Rock,80,80,80,80,80,80
Ice,Steel,80,80,80,80,80,80
Ice,Typeless,80,80,80,80,80,80
Ice,Water,80,80,80,80,80,80
Normal,Poison,80,80,80,80,80,80
Normal,Psychic,80,80,80,80,80,80
Normal,Rock,80,80,80,80,80,80
Normal,Steel,80,80,80,80,80,80
Normal,Typeless,80,80,80,80,80,80
Normal,Water,80,80,80,80,80,80
Poison,Psychic,80,80,80,80,80,80
Poison,Rock,80,80,80,80,80,80
Poison,Steel,80,80,80,80,80,80
Poison,Typeless,80,80,80,80,80,80
Poison,Water,80,80,80,80,80,80
Psychic,Rock,80,80,80,80,80,80
Psychic,Steel,80,80,80,80,80,80
Psychic,Typeless,80,80,80,80,80,80
Psychic,Water,80,80,80,80,80,80
Rock,Steel,80,80,80,80,80,80
Rock,Typeless,80,80,80,80,80,80
Rock,Water,80,80,80,80,80,80
Steel,Typeless,80,80,80,80,80,80
Steel,Water,80,80,80,80,80,80
Water,Typeless,80,80,80,80,80,80
