T1Type1,T1Type2,T2Type1,T2Type2
Bug,Dragon,Grass,Poison
Bug,Dragon,Grass,Psychic
Bug,Dragon,Grass,Rock
Bug,Dragon,Grass,Steel
Bug,Dragon,Grass,Typeless
Bug,Dragon,Grass,Water
Bug,Dragon,Ground,Ice
Bug,Dragon,Ground,Normal
Bug,Dragon,Ground,Poison
Bug,Dragon,Ground,Psychic
Bug,Dragon,Ground,Rock
Bug,Dragon,Ground,Steel
Bug,Dragon,Ground,Typeless
Bug,Dragon,Ground,Water
Bug,Dragon,Ice,Normal
Bug,Dragon,Ice,Poison
Bug,Dragon,Ice,Psychic
Bug,Dragon,Ice,Rock
Bug,Dragon,Ice,Steel
Bug,Dragon,Ice,Typeless
Bug,Dragon,Ice,Water
Bug,Dragon,Normal,Poison
Bug,Dragon,Normal,Psychic
Bug,Dragon,Normal,Rock
Bug,Dragon,Normal,Steel
Bug,Dragon,Normal,Typeless
Bug,Dragon,Normal,Water
Bug,Dragon,Poison,Psychic
Bug,Dragon,Poison,Rock
Bug,Dragon,Poison,Steel
Bug,Dragon,Poison,Typeless
Bug,Dragon,Poison,Water
Bug,Dragon,Psychic,Rock
Bug,Dragon,Psychic,Steel
Bug,Dragon,Psychic,Typeless
Bug,Dragon,Psychic,Water
Bug,Dragon,Rock,Steel
Bug,Dragon,Rock,Typeless
Bug,Dragon,Rock,Water
Bug,Dragon,Steel,Typeless
Bug,Dragon,Steel,Water
Bug,Dragon,Water,Typeless
Bug,Electric,Bug,Fairy
Bug,Electric,Bug,Fighting
Bug,Electric,Bug,Fire
Bug,Electric,Bug,Flying
Bug,Electric,Bug,Ghost
Bug,Electric,Bug,Grass
Bug,Electric,Bug,Ground
Bug,Electric,Bug,Ice
Bug,Electric,Bug,Normal
Bug,Electric,Bug,Poison
Bug,Electric,Bug,Psychic
Bug,Electric,Bug,Rock
Bug,Electric,Bug,Steel
Bug,Electric,Bug,Typeless
Bug,Electric,Bug,Water
Bug,Electric,Dark,Dragon
Bug,Electric,Dark,Electric
Bug,Electric,Dark,Fairy
Bug,Electric,Dark,Fighting
Bug,Electric,Dark,Fire
Bug,Electric,Dark,Flying
Bug,Electric,Dark,Ghost
Bug,Electric,Dark,Grass
Bug,Electric,Dark,Ground
Bug,Electric,Dark,Ice
Bug,Electric,Dark,Normal
Bug,Electric,Dark,Poison
Bug,Electric,Dark,Psychic
Bug,Electric,Dark,Rock
Bug,Electric,Dark,Steel
Bug,Electric,Dark,Typeless
Bug,Electric,Dark,Water
Bug,Electric,Dragon,Electric
Bug,Electric,Dragon,Fairy
Bug,Electric,Dragon,Fighting
Bug,Electric,Dragon,Fire
Bug,Electric,Dragon,Flying
Bug,Electric,Dragon,Ghost
Bug,Electric,Dragon,Grass
Bug,Electric,Dragon,Ground
Bug,Electric,Dragon,Ice
Bug,Electric,Dragon,Normal
Bug,Electric,Dragon,Poison
Bug,Electric,Dragon,Psychic
Bug,Electric,Dragon,Rock
Bug,Electric,Dragon,Steel
Bug,Electric,Dragon,Typeless
Bug,Electric,Dragon,Water
Bug,Electric,Electric,Fairy
Bug,Electric,Electric,Fighting
Bug,Electric,Electric,Fire
Bug,Electric,Electric,Flying
Bug,Electric,Electric,Ghost
Bug,Electric,Electric,Grass
Bug,Electric,Electric,Ground
Bug,Electric,Electric,Ice
Bug,Electric,Electric,Normal
Bug,Electric,Electric,Poison
Bug,Electric,Electric,Psychic
Bug,Electric,Electric,Rock
Bug,Electric,Electric,Steel
Bug,Electric,Electric,Typeless
Bug,Electric,Electric,Water
Bug,Electric,Fairy,Fighting
Bug,Electric,Fairy,Fire
Bug,Electric,Fairy,Flying
Bug,Electric,Fairy,Ghost
Bug,Electric,Fairy,Grass
Bug,Electric,Fairy,Ground
Bug,Electric,Fairy,Ice
Bug,Electric,Fairy,Normal
Bug,Electric,Fairy,Poison
Bug,Electric,Fairy,Psychic
Bug,Electric,Fairy,Rock
Bug,Electric,Fairy,Steel
Bug,Electric,Fairy,Typeless
Bug,Electric,Fairy,Water
Bug,Electric,Fighting,Fire
Bug,Electric,Fighting,Flying
Bug,Electric,Fighting,Ghost
Bug,Electric,Fighting,Grass
Bug,Electric,Fighting,Ground
Bug,Electric,Fighting,Ice
Bug,Electric,Fighting,Normal
Bug,Electric,Fighting,Poison
Bug,Electric,Fighting,Psychic
Bug,Electric,Fighting,Rock
Bug,Electric,Fighting,Steel
Bug,Electric,Fighting,Typeless
Bug,Electric,Fighting,Water
Bug,Electric,Fire,Flying
Bug,Electric,Fire,Ghost
Bug,Electric,Fire,Grass
Bug,Electric,Fire,Ground
Bug,Electric,Fire,Ice
Bug,Electric,Fire,Normal
Bug,Electric,Fire,Poison
Bug,Electric,Fire,Psychic
Bug,Electric,Fire,Rock
Bug,Electric,Fire,Steel
Bug,Electric,Fire,Typeless
Bug,Electric,Fire,Water
Bug,Electric,Flying,Ghost
Bug,Electric,Flying,Grass
Bug,Electric,Flying,Ground
Bug,Electric,Flying,Ice
Bug,Electric,Flying,Normal
Bug,Electric,Flying,Poison
Bug,Electric,Flying,Psychic
Bug,Electric,Flying,Rock
Bug,Electric,Flying,Steel
Bug,Electric,Flying,Typeless
Bug,Electric,Flying,Water
Bug,Electric,Ghost,Grass
Bug,Electric,Ghost,Ground
Bug,Electric,Ghost,Ice
Bug,Electric,Ghost,Normal
Bug,Electric,Ghost,Poison
Bug,Electric,Ghost,Psychic
Bug,Electric,Ghost,Rock
Bug,Electric,Ghost,Steel
Bug,Electric,Ghost,Typeless
Bug,Electric,Ghost,Water
Bug,Electric,Grass,Ground
Bug,Electric,Grass,Ice
Bug,Electric,Grass,Normal
Bug,Electric,Grass,Poison
Bug,Electric,Grass,Psychic
Bug,Electric,Grass,Rock
Bug,Electric,Grass,Steel
Bug,Electric,Grass,Typeless
Bug,Electric,Grass,Water
Bug,Electric,Ground,Ice
Bug,Electric,Ground,Normal
Bug,Electric,Ground,Poison
Bug,Electric,Ground,Psychic
Bug,Electric,Ground,Rock
Bug,Electric,Ground,Steel
Bug,Electric,Ground,Typeless
Bug,Electric,Ground,Water
Bug,Electric,Ice,Normal
Bug,Electric,Ice,Poison
Bug,Electric,Ice,Psychic
Bug,Electric,Ice,Rock
Bug,Electric,Ice,Steel
Bug,Electric,Ice,Typeless
Bug,Electric,Ice,Water
Bug,Electric,Normal,Poison
Bug,Electric,Normal,Psychic
Bug,Electric,Normal,Rock
Bug,Electric,Normal,Steel
Bug,Electric,Normal,Typeless
Bug,Electric,Normal,Water
Bug,Electric,Poison,Psychic
Bug,Electric,Poison,Rock
Bug,Electric,Poison,Steel
Bug,Electric,Poison,Typeless
Bug,Electric,Poison,Water
Bug,Electric,Psychic,Rock
Bug,Electric,Psychic,Steel
Bug,Electric,Psychic,Typeless
Bug,Electric,Psychic,Water
Bug,Electric,Rock,Steel
Bug,Electric,Rock,Typeless
Bug,Electric,Rock,Water
Bug,Electric,Steel,Typeless
Bug,Electric,Steel,Water
Bug,Electric,Water,Typeless
Bug,Fairy,Bug,Fighting
Bug,Fairy,Bug,Fire
Bug,Fairy,Bug,Flying
Bug,Fairy,Bug,Ghost
Bug,Fairy,Bug,Grass
Bug,Fairy,Bug,Ground
Bug,Fairy,Bug,Ice
Bug,Fairy,Bug,Normal
Bug,Fairy,Bug,Poison
Bug,Fairy,Bug,Psychic
Bug,Fairy,Bug,Rock
Bug,Fairy,Bug,Steel
Bug,Fairy,Bug,Typeless
Bug,Fairy,Bug,Water
Bug,Fairy,Dark,Dragon
Bug,Fairy,Dark,Electric
Bug,Fairy,Dark,Fairy
Bug,Fairy,Dark,Fighting
Bug,Fairy,Dark,Fire
Bug,Fairy,Dark,Flying
Bug,Fairy,Dark,Ghost
Bug,Fairy,Dark,Grass
Bug,Fairy,Dark,Ground
Bug,Fairy,Dark,Ice
Bug,Fairy,Dark,Normal
Bug,Fairy,Dark,Poison
Bug,Fairy,Dark,Psychic
Bug,Fairy,Dark,Rock
Bug,Fairy,Dark,Steel
Bug,Fairy,Dark,Typeless
Bug,Fairy,Dark,Water
Bug,Fairy,Dragon,Electric
Bug,Fairy,Dragon,Fairy
Bug,Fairy,Dragon,Fighting
Bug,Fairy,Dragon,Fire
Bug,Fairy,Dragon,Flying
Bug,Fairy,Dragon,Ghost
Bug,Fairy,Dragon,Grass
Bug,Fairy,Dragon,Ground
Bug,Fairy,Dragon,Ice
Bug,Fairy,Dragon,Normal
Bug,Fairy,Dragon,Poison
Bug,Fairy,Dragon,Psychic
Bug,Fairy,Dragon,Rock
Bug,Fairy,Dragon,Steel
Bug,Fairy,Dragon,Typeless
Bug,Fairy,Dragon,Water
Bug,Fairy,Electric,Fairy
Bug,Fairy,Electric,Fighting
Bug,Fairy,Electric,Fire
Bug,Fairy,Electric,Flying
Bug,Fairy,Electric,Ghost
Bug,Fairy,Electric,Grass
Bug,Fairy,Electric,Ground
Bug,Fairy,Electric,Ice
Bug,Fairy,Electric,Normal
Bug,Fairy,Electric,Poison
Bug,Fairy,Electric,Psychic
Bug,Fairy,Electric,Rock
Bug,Fairy,Electric,Steel
Bug,Fairy,Electric,Typeless
Bug,Fairy,Electric,Water
Bug,Fairy,Fairy,Fighting
Bug,Fairy,Fairy,Fire
Bug,Fairy,Fairy,Flying
Bug,Fairy,Fairy,Ghost
Bug,Fairy,Fairy,Grass
Bug,Fairy,Fairy,Ground
Bug,Fairy,Fairy,Ice
Bug,Fairy,Fairy,Normal
Bug,Fairy,Fairy,Poison
Bug,Fairy,Fairy,Psychic
Bug,Fairy,Fairy,Rock
Bug,Fairy,Fairy,Steel
Bug,Fairy,Fairy,Typeless
Bug,Fairy,Fairy,Water
Bug,Fairy,Fighting,Fire
Bug,Fairy,Fighting,Flying
Bug,Fairy,Fighting,Ghost
Bug,Fairy,Fighting,Grass
Bug,Fairy,Fighting,Ground
Bug,Fairy,Fighting,Ice
Bug,Fairy,Fighting,Normal
Bug,Fairy,Fighting,Poison
Bug,Fairy,Fighting,Psychic
Bug,Fairy,Fighting,Rock
Bug,Fairy,Fighting,Steel
Bug,Fairy,Fighting,Typeless
Bug,Fairy,Fighting,Water
Bug,Fairy,Fire,Flying
Bug,Fairy,Fire,Ghost
Bug,Fairy,Fire,Grass
Bug,Fairy,Fire,Ground
Bug,Fairy,Fire,Ice
Bug,Fairy,Fire,Normal
Bug,Fairy,Fire,Poison
Bug,Fairy,Fire,Psychic
Bug,Fairy,Fire,Rock
Bug,Fairy,Fire,Steel
Bug,Fairy,Fire,Typeless
Bug,Fairy,Fire,Water
Bug,Fairy,Flying,Ghost
Bug,Fairy,Flying,Grass
Bug,Fairy,Flying,Ground
Bug,Fairy,Flying,Ice
Bug,Fairy,Flying,Normal
Bug,Fairy,Flying,Poison
Bug,Fairy,Flying,Psychic
Bug,Fairy,Flying,Rock
Bug,Fairy,Flying,Steel
Bug,Fairy,Flying,Typeless
Bug,Fairy,Flying,Water
Bug,Fairy,Ghost,Grass
Bug,Fairy,Ghost,Ground
Bug,Fairy,Ghost,Ice
Bug,Fairy,Ghost,Normal
Bug,Fairy,Ghost,Poison
Bug,Fairy,Ghost,Psychic
Bug,Fairy,Ghost,Rock
Bug,Fairy,Ghost,Steel
Bug,Fairy,Ghost,Typeless
Bug,Fairy,Ghost,Water
Bug,Fairy,Grass,Ground
Bug,Fairy,Grass,Ice
Bug,Fairy,Grass,Normal
Bug,Fairy,Grass,Poison
Bug,Fairy,Grass,Psychic
Bug,Fairy,Grass,Rock
Bug,Fairy,Grass,Steel
Bug,Fairy,Grass,Typeless
Bug,Fairy,Grass,Water
Bug,Fairy,Ground,Ice
Bug,Fairy,Ground,Normal
Bug,Fairy,Ground,Poison
Bug,Fairy,Ground,Psychic
Bug,Fairy,Ground,Rock
Bug,Fairy,Ground,Steel
Bug,Fairy,Ground,Typeless
Bug,Fairy,Ground,Water
Bug,Fairy,Ice,Normal
Bug,Fairy,Ice,Poison
Bug,Fairy,Ice,Psychic
Bug,Fairy,Ice,Rock
Bug,Fairy,Ice,Steel
Bug,Fairy,Ice,Typeless
Bug,Fairy,Ice,Water
Bug,Fairy,Normal,Poison
Bug,Fairy,Normal,Psychic
Bug,Fairy,Normal,Rock
Bug,Fairy,Normal,Steel
Bug,Fairy,Normal,Typeless
Bug,Fairy,Normal,Water
Bug,Fairy,Poison,Psychic
Bug,Fairy,Poison,Rock
Bug,Fairy,Poison,Steel
Bug,Fairy,Poison,Typeless
Bug,Fairy,Poison,Water
Bug,Fairy,Psychic,Rock
Bug,Fairy,Psychic,Steel
Bug,Fairy,Psychic,Typeless
Bug,Fairy,Psychic,Water
Bug,Fairy,Rock,Steel
Bug,Fairy,Rock,Typeless
Bug,Fairy,Rock,Water
Bug,Fairy,Steel,Typeless
Bug,Fairy,Steel,Water
Bug,Fairy,Water,Typeless
Bug,Fighting,Bug,Fire
Bug,Fighting,Bug,Flying
Bug,Fighting,Bug,Ghost
Bug,Fighting,Bug,Grass
Bug,Fighting,Bug,Ground
Bug,Fighting,Bug,Ice
Bug,Fighting,Bug,Normal
Bug,Fighting,Bug,Poison
Bug,Fighting,Bug,Psychic
Bug,Fighting,Bug,Rock
Bug,Fighting,Bug,Steel
Bug,Fighting,Bug,Typeless
Bug,Fighting,Bug,Water
Bug,Fighting,Dark,Dragon
Bug,Fighting,Dark,Electric
Bug,Fighting,Dark,Fairy
Bug,Fighting,Dark,Fighting
Bug,Fighting,Dark,Fire
Bug,Fighting,Dark,Flying
Bug,Fighting,Dark,Ghost
Bug,Fighting,Dark,Grass
Bug,Fighting,Dark,Ground
Bug,Fighting,Dark,Ice
Bug,Fighting,Dark,Normal
Bug,Fighting,Dark,Poison
Bug,Fighting,Dark,Psychic
Bug,Fighting,Dark,Rock
Bug,Fighting,Dark,Steel
Bug,Fighting,Dark,Typeless
Bug,Fighting,Dark,Water
Bug,Fighting,Dragon,Electric
Bug,Fighting,Dragon,Fairy
Bug,Fighting,Dragon,Fighting
Bug,Fighting,Dragon,Fire
Bug,Fighting,Dragon,Flying
Bug,Fighting,Dragon,Ghost
Bug,Fighting,Dragon,Grass
Bug,Fighting,Dragon,Ground
Bug,Fighting,Dragon,Ice
Bug,Fighting,Dragon,Normal
Bug,Fighting,Dragon,Poison
Bug,Fighting,Dragon,Psychic
Bug,Fighting,Dragon,Rock
Bug,Fighting,Dragon,Steel
Bug,Fighting,Dragon,Typeless
Bug,Fighting,Dragon,Water
Bug,Fighting,Electric,Fairy
Bug,Fighting,Electric,Fighting
Bug,Fighting,Electric,Fire
Bug,Fighting,Electric,Flying
Bug,Fighting,Electric,Ghost
Bug,Fighting,Electric,Grass
Bug,Fighting,Electric,Ground
Bug,Fighting,Electric,Ice
Bug,Fighting,Electric,Normal
Bug,Fighting,Electric,Poison
Bug,Fighting,Electric,Psychic
Bug,Fighting,Electric,Rock
Bug,Fighting,Electric,Steel
Bug,Fighting,Electric,Typeless
Bug,Fighting,Electric,Water
Bug,Fighting,Fairy,Fighting
Bug,Fighting,Fairy,Fire
Bug,Fighting,Fairy,Flying
Bug,Fighting,Fairy,Ghost
Bug,Fighting,Fairy,Grass
Bug,Fighting,Fairy,Ground
Bug,Fighting,Fairy,Ice
Bug,Fighting,Fairy,Normal
Bug,Fighting,Fairy,Poison
Bug,Fighting,Fairy,Psychic
Bug,Fighting,Fairy,Rock
Bug,Fighting,Fairy,Steel
Bug,Fighting,Fairy,Typeless
Bug,Fighting,Fairy,Water
Bug,Fighting,Fighting,Fire
Bug,Fighting,Fighting,Flying
Bug,Fighting,Fighting,Ghost
Bug,Fighting,Fighting,Grass
Bug,Fighting,Fighting,Ground
Bug,Fighting,Fighting,Ice
Bug,Fighting,Fighting,Normal
Bug,Fighting,Fighting,Poison
Bug,Fighting,Fighting,Psychic
Bug,Fighting,Fighting,Rock
Bug,Fighting,Fighting,Steel
Bug,Fighting,Fighting,Typeless
Bug,Fighting,Fighting,Water
Bug,Fighting,Fire,Flying
Bug,Fighting,Fire,Ghost
Bug,Fighting,Fire,Grass
Bug,Fighting,Fire,Ground
Bug,Fighting,Fire,Ice
Bug,Fighting,Fire,Normal
Bug,Fighting,Fire,Poison
Bug,Fighting,Fire,Psychic
Bug,Fighting,Fire,Rock
Bug,Fighting,Fire,Steel
Bug,Fighting,Fire,Typeless
Bug,Fighting,Fire,Water
Bug,Fighting,Flying,Ghost
Bug,Fighting,Flying,Grass
Bug,Fighting,Flying,Ground
Bug,Fighting,Flying,Ice
Bug,Fighting,Flying,Normal
Bug,Fighting,Flying,Poison
Bug,Fighting,Flying,Psychic
Bug,Fighting,Flying,Rock
Bug,Fighting,Flying,Steel
Bug,Fighting,Flying,Typeless
Bug,Fighting,Flying,Water
Bug,Fighting,Ghost,Grass
Bug,Fighting,Ghost,Ground
Bug,Fighting,Ghost,Ice
Bug,Fighting,Ghost,Normal
Bug,Fighting,Ghost,Poison
Bug,Fighting,Ghost,Psychic
Bug,Fighting,Ghost,Rock
Bug,Fighting,Ghost,Steel
Bug,Fighting,Ghost,Typeless
Bug,Fighting,Ghost,Water
Bug,Fighting,Grass,Ground
Bug,Fighting,Grass,Ice
Bug,Fighting,Grass,Normal
Bug,Fighting,Grass,Poison
Bug,Fighting,Grass,Psychic
Bug,Fighting,Grass,Rock
Bug,Fighting,Grass,Steel
Bug,Fighting,Grass,Typeless
Bug,Fighting,Grass,Water
Bug,Fighting,Ground,Ice
Bug,Fighting,Ground,Normal
Bug,Fighting,Ground,Poison
Bug,Fighting,Ground,Psychic
Bug,Fighting,Ground,Rock
Bug,Fighting,Ground,Steel
Bug,Fighting,Ground,Typeless
Bug,Fighting,Ground,Water
Bug,Fighting,Ice,Normal
Bug,Fighting,Ice,Poison
